LOCUS.0	LOCUS	LAT	LON	COORD.BASED	POPULATION	POPULATION.20200101	POPULATION.20230101.total	POPULATION.20230101.urban	POPULATION.20230101.rural	REGION.RUS.LONG	REGION.RUS	FED.DISCTRICT	REGION.INCR	REGION.RosStat	REGION.20230101
Karachay-Cherkessia	Karachay-Cherkessia	44.2237451	41.9883051	Cherkessk	465669	465528	468444	193802	274642	Карачаево-Черкесская Республика	Карачаево-Черкесия	Северо-Кавказский федеральный округ	Карачаево-Черкесская Республика	Карачаево-Черкесская Республика	Карачаево-Черкесская Республика
Kemerovo	Kemerovo	55.3983692	85.8052206		2657758	2657854	2568238	2222194	346044	Кемеровская область	Кемеровская обл.	Сибирский федеральный округ	Кемеровская область	Кемеровская область	Кемеровская область - Кузбасс
Kirov	Kirov	58.5854678	49.4319924		1262549	1262402	1138112	891429	246683	Кировская область	Кировская обл.	Приволжский федеральный округ	Кировская область	Кировская область	Кировская область
Kostroma	Kostroma	57.7738485	40.7988261		633392	633385	571900	423745	148155	Костромская область	Костромская обл.	Центральный федеральный округ	Костромская область	Костромская область	Костромская область
Krasnodar	Krasnodar	45.0579184	38.8575885		5677786	5675462	5819345	3324820	2494525	Краснодарский край	Краснодарский край	Южный федеральный округ	Краснодарский край	Краснодарский край	Краснодарский край
Krasnoyarsk	Krasnoyarsk	56.026842	92.7256504		2867875	2866255	2845545	2264708	580837	Красноярский край	Красноярский край 	Сибирский федеральный округ	Красноярский край	Красноярский край	Красноярский край
Kurgan	Kurgan	55.4125848	65.1135317		826941	827166	761586	489010	272576	Курганская область	Курганская обл.	Уральский федеральный округ	Курганская область	Курганская область	Курганская область
Kursk	Kursk	51.6697889	35.1757839		1103059	1104008	1067034	730769	336265	Курская область	Курская обл.	Центральный федеральный округ	Курская область	Курская область	Курская область
St. Petersburg	Leningrad region				1876392	1875872	2023767	1357252	666515	Ленинградская область	Ленинградская обл.	Северо-Западный федеральный округ	Ленинградская область	Ленинградская область	Ленинградская область
Lipetsk	Lipetsk	52.6023189	39.4855753		1139492	1139371	1126263	709363	416900	Липецкая область	Липецкая обл.	Центральный федеральный округ	Липецкая область	Липецкая область	Липецкая область
Magadan	Magadan	59.5644932	150.770928		140199	140149	134315	129615	4700	Магаданская область	Магаданская обл.	Дальневосточный федеральный округ	Магаданская область	Магаданская область	Магаданская область
Moscow	Moscow	55.5815244	36.8251002		12692466	12678079	13104177	13104177	0	г. Москва	Москва	Центральный федеральный округ	Москва	г. Москва	г Москва - город федерального значения 
Moscow	Moscow region				7687647	7690863	8591736	6726786	1864950	Московская область	Московская обл.	Центральный федеральный округ	Московская область	Московская область	Московская область
Murmansk	Murmansk	68.96412	32.805941		741511	741404	658698	612858	45840	Мурманская область	Мурманская обл.	Северо-Западный федеральный округ	Мурманская область	Мурманская область	Мурманская область
Nenets AO	Nenets AO	67.6569537	52.9885752	Naryan-Mar	44111	44111	41383	30832	10551	Ненецкий автономный округ	Ненецкий авт. окр.	Северо-Западный федеральный округ	Ненецкий автономный округ	Ненецкий автономный округ	Ненецкий автономный округ
Nizhnii Novgorod	Nizhnii Novgorod	56.292129	43.7860829		3203818	3202946	3081817	2465535	616282	Нижегородская область	Нижегородская обл.	Приволжский федеральный округ	Нижегородская область	Нижегородская область	Нижегородская область
Novgorod	Novgorod	58.5562984	31.1723515		596173	596508	575926	421125	154801	Новгородская область	Новгородская обл.	Северо-Западный федеральный округ	Новгородская область	Новгородская область	Новгородская область
Novosibirsk	Novosibirsk	54.9700492	82.6692218		2798251	2798170	2794266	2227777	566489	Новосибирская область	Новосибирская обл.	Сибирский федеральный округ	Новосибирская область	Новосибирская область	Новосибирская область
